latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-1.88337,114.52488,313.65,1,1,2026-09-24,805,Aqua,MODIS,58,6.1NRT,300.5,5.18,D
-1.86179,111.06853,313.93,1.36,1.16,2026-09-24,805,Aqua,MODIS,53,6.1NRT,295.96,9.12,D
-1.84838,111.08995,314.05,1.36,1.15,2026-09-24,805,Aqua,MODIS,62,6.1NRT,296.19,9.15,D
-1.84477,115.15169,325.75,1.01,1.01,2026-09-24,805,Aqua,MODIS,79,6.1NRT,298.91,16.64,D
-1.84348,115.16047,319.42,1.01,1.01,2026-09-24,805,Aqua,MODIS,71,6.1NRT,298.82,9.88,D
-1.81482,115.11139,320.16,1.01,1,2026-09-24,805,Aqua,MODIS,72,6.1NRT,298.12,11.43,D
-1.81049,114.95872,318,1.01,1,2026-09-24,805,Aqua,MODIS,69,6.1NRT,299.68,8.69,D
-1.8092,114.96745,341.5,1.01,1,2026-09-24,805,Aqua,MODIS,91,6.1NRT,301.14,39.07,D
-1.80565,114.54234,327.79,1,1,2026-09-24,805,Aqua,MODIS,81,6.1NRT,300.84,19.1,D
-1.80438,114.55103,330.65,1,1,2026-09-24,805,Aqua,MODIS,83,6.1NRT,301.36,22.7,D
-1.79565,115.86162,312.41,1.05,1.02,2026-09-24,805,Aqua,MODIS,52,6.1NRT,295.77,5.09,D
-1.77297,114.94651,350.72,1.01,1,2026-09-24,805,Aqua,MODIS,95,6.1NRT,301.46,56.72,D
-1.76885,115.85747,310.74,1.05,1.02,2026-09-24,805,Aqua,MODIS,26,6.1NRT,293.91,4.17,D
-1.75545,114.94392,319.76,1.01,1,2026-09-24,805,Aqua,MODIS,48,6.1NRT,296.83,9.28,D
-1.75417,114.95265,325.11,1.01,1,2026-09-24,805,Aqua,MODIS,69,6.1NRT,298.62,14.79,D
-1.7508,116.22593,315.12,1.09,1.04,2026-09-24,805,Aqua,MODIS,55,6.1NRT,299.39,6.44,D
-1.7494,116.2354,335.34,1.09,1.04,2026-09-24,805,Aqua,MODIS,87,6.1NRT,300.9,32.08,D
-1.74641,114.56338,317.58,1,1,2026-09-24,805,Aqua,MODIS,67,6.1NRT,300.11,7.99,D
-1.73278,114.97628,327.76,1.01,1,2026-09-24,805,Aqua,MODIS,81,6.1NRT,299.42,18.17,D
-1.73149,114.98502,327.09,1.01,1,2026-09-24,805,Aqua,MODIS,80,6.1NRT,298.99,16.99,D
